name,loc,AbstractClassWithoutAbstractMethod,AccessorClassGeneration,AccessorMethodGeneration,SimplifyBooleanExpressions,SimplifyBooleanReturns,ConstantsInInterface,ConstructorCallsOverridableMethod,DataClass,AvoidDeeplyNestedIfStmts,FieldDeclarationsShouldBeAtStartOfClass,GodClass,ImmutableField,AvoidSynchronizedAtMethodLevel,EmptyMethodInAbstractClassShouldBeAbstract,AvoidProtectedFieldInFinalClass,AvoidProtectedMethodInFinalClassNotExtending,AvoidReassigningParameters,CloseResource,SingletonClassReturningNewInstance,SwitchDensity,SwitchStmtsShouldHaveDefault,TooFewBranchesForASwitchStatement,UncommentedEmptyConstructor,UncommentedEmptyMethodBody,UnnecessaryLocalBeforeReturn,bug
src/camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,265,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
src/camel-core/src/main/java/org/apache/camel/model/ProcessorType.java,2077,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1
src/camel-core/src/main/java/org/apache/camel/processor/DelayProcessorSupport.java,127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
src/camel-core/src/main/java/org/apache/camel/component/mock/AssertionClause.java,118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/camel-core/src/main/java/org/apache/camel/impl/ScheduledPollConsumer.java,179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
src/camel-core/src/main/java/org/apache/camel/impl/DefaultEndpoint.java,281,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,5
src/camel-core/src/main/java/org/apache/camel/impl/DefaultComponent.java,308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
src/components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/RemoteFileEndpoint.java,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/camel-core/src/main/java/org/apache/camel/processor/loadbalancer/QueueLoadBalancer.java,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/camel-core/src/main/java/org/apache/camel/impl/ServiceSupport.java,239,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4
src/camel-core/src/main/java/org/apache/camel/impl/DefaultProducer.java,47,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0
